#{"t_start": 1762704241.0969076, "env_id": "None"}
r,l,t
2180.7156,1406,8707.294338
2418.3577,1167,8773.619155
2019.8762,1106,8773.831639
2094.8352,1361,8774.410522
3139.0005,1913,8774.544263
1990.1205,1089,8774.665091
2338.6997,1355,8775.632386
1741.3549,849,8775.769764
1699.974,892,8776.14888
1726.9144,948,8852.172271
2575.371,1660,8852.69402
2060.7322,1157,8905.512238
1212.6366,747,8906.118406
1589.4506,992,8906.591321
1991.2114,1671,8907.136833
1729.7444,1100,8907.39722
2248.5986,1273,8907.872617
3647.0,2000,8909.026028
1762.8564,1333,8970.744578
2003.037,1251,8971.296139
3403.98,1744,8971.642159
3337.1077,1819,8971.64223
3016.9014,2000,8972.713916
1769.0602,1181,8973.169897
2616.5305,1755,8973.545407
1641.6208,897,8974.399094
2045.7902,1123,9051.501775
2846.4045,1951,9051.758546
2745.6633,1650,9052.242316
1807.6066,1145,9052.712724
1614.2682,979,9109.36218
2080.314,1355,9109.785333
2289.2449,1329,9110.068519
2784.7202,1637,9111.389512
2032.6143,1254,9111.708264
2164.7092,1114,9112.501297
2416.5083,1488,9112.679803
2861.8499,1559,9177.87458
1656.9219,873,9178.565451
2393.8738,1434,9178.780113
1200.2944,699,9179.881846
2440.42,1421,9179.962835
1645.0681,986,9179.994911
2035.7902,1130,9180.004225
819.82684,433,9180.316351
3112.3018,2000,9180.959915
3327.0,1895,9262.02422
2036.8965,1191,9263.643441
1613.2301,1012,9263.740657
2870.5012,1595,9264.083782
2046.5026,1329,9264.390759
1195.2153,603,9264.978678
1204.3042,611,9326.404083
1600.9663,985,9327.415171
2578.3882,1620,9329.621241
2413.893,1202,9379.844488
2476.6113,1482,9380.038833
1588.2192,855,9380.640564
2159.0642,1395,9381.408677
2458.6816,1363,9381.416782
2981.7026,1954,9382.612323
2706.6843,1745,9382.93749
1986.6462,1039,9382.95324
1657.5657,1022,9454.926708
2805.0,1256,9455.882965
2099.5522,1425,9456.467265
3281.7988,2000,9456.94781
2877.805,1829,9457.785378
2842.7627,1697,9458.465817
2156.8997,1133,9519.083604
1651.5084,968,9520.197913
2455.0,1177,9520.503958
1584.0952,1035,9522.314351
1621.3198,979,9576.734665
3169.3423,1896,9576.872633
2996.862,1545,9576.993227
2399.1755,1552,9577.860456
2401.543,1469,9579.396078
